Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),Predicted
2012-04-30,5201.45,5262.15,5201.45,5248.15,108138550,4610.4,5219.059
2012-05-02,5254.3,5279.6,5226.45,5239.15,119333288,4815.08,5259.5063
2012-05-03,5211.2,5217.3,5180.65,5188.4,118573998,5488.9,5279.8755
2012-05-04,5166.65,5177.2,5070.6,5086.85,153304687,6507.5,5224.288
2012-05-07,5017.8,5124.75,4988.0,5114.15,168271798,6787.08,5180.444
2012-05-08,5114.7,5119.95,4983.6,4999.95,164262546,6233.26,5129.3833
2012-05-09,4967.9,5016.25,4956.45,4974.8,180441209,6558.78,5120.641
2012-05-10,4984.15,5039.3,4950.3,4965.7,141031231,5430.14,5028.709
2012-05-11,4938.85,4976.25,4906.15,4928.9,138526070,5061.57,5038.083
2012-05-14,4934.35,4957.2,4874.5,4907.8,126951751,5291.93,4985.763
2012-05-15,4869.85,4955.2,4868.55,4942.8,142119571,5491.24,4961.902
2012-05-16,4875.3,4882.25,4837.05,4858.25,165048505,6316.66,4958.076
2012-05-17,4878.6,4922.25,4850.2,4870.2,155654031,5745.51,4893.6855
2012-05-18,4796.4,4908.5,4788.95,4891.45,154508649,6447.08,4920.002
2012-05-21,4888.5,4937.5,4888.5,4906.05,116506971,4527.67,4913.338
2012-05-22,4954.7,4956.35,4849.9,4860.5,130808278,5074.37,4937.5015
2012-05-23,4843.0,4853.75,4803.95,4835.65,136108067,4854.15,4957.516
2012-05-24,4863.4,4931.9,4830.15,4921.4,140474832,5012.08,4868.847
2012-05-25,4905.95,4935.8,4889.35,4920.4,118191157,4398.09,4924.3423
2012-05-28,4931.7,4994.95,4931.3,4985.65,97260991,3983.53,4938.352
2012-05-29,5005.35,5020.15,4982.15,4990.1,124219839,4923.56,4991.7427
2012-05-30,4964.25,4982.25,4944.9,4950.75,146005250,5374.65,5020.789
2012-05-31,4896.1,4949.25,4883.55,4924.25,296911390,10662.01,4989.088
2012-06-01,4910.85,4925.0,4831.75,4841.6,138767416,4989.22,4954.0205
2012-06-04,4797.3,4858.3,4770.35,4848.15,152339865,5143.54,4928.346
2012-06-05,4869.45,4898.95,4847.7,4863.3,141476962,5016.41,4867.188
2012-06-06,4886.65,5010.45,4886.15,4997.1,185340406,7188.42,4895.343
2012-06-07,5035.35,5059.65,5007.75,5049.65,150558164,6077.37,5000.069
2012-06-08,5044.25,5084.45,4994.8,5068.35,138389395,5249.81,5057.754
2012-06-11,5096.7,5124.45,5040.7,5054.1,125615102,4813.82,5083.7017
2012-06-12,5015.5,5128.9,5015.15,5115.9,135478015,5205.9,5119.743
2012-06-13,5117.55,5144.9,5095.45,5121.45,125668126,5287.08,5126.7764
2012-06-14,5105.1,5130.0,5047.6,5054.75,118353366,4751.86,5140.7583
2012-06-15,5069.55,5146.2,5069.15,5139.05,155437144,5944.0,5128.9546
2012-06-18,5174.0,5190.2,5041.7,5064.25,153461067,6005.83,5141.8516
2012-06-19,5050.8,5113.6,5048.1,5103.85,149416155,5336.22,5183.6265
2012-06-20,5114.55,5141.7,5100.7,5120.55,160505645,5313.6,5119.7686
2012-06-21,5097.35,5170.4,5093.45,5165.0,142992948,5558.56,5135.643
2012-06-22,5101.75,5159.8,5094.0,5146.05,159747192,5500.44,5164.973
2012-06-25,5158.5,5194.6,5105.65,5114.65,123503010,4894.04,5158.947
2012-06-26,5107.45,5134.55,5095.5,5120.8,99404566,4119.69,5188.4785
2012-06-27,5149.45,5160.1,5129.25,5141.9,112269218,4238.62,5137.8247
2012-06-28,5148.95,5159.05,5125.3,5149.15,143073791,5597.52,5153.5454
2012-06-29,5191.25,5286.25,5189.0,5278.9,226523598,8461.24,5155.9014
2012-07-02,5283.85,5302.15,5263.35,5278.6,126161441,4991.57,5271.1875
2012-07-03,5298.85,5317.0,5265.95,5287.95,133117055,5161.82,5299.59
2012-07-04,5310.4,5317.65,5273.3,5302.55,155995887,5750.1,5312.9883
